filename,width,height,class,xmin,ymin,xmax,ymax
egohands-public-1620914960773_png_jpg.rf.aa184eeebad98b2fb04354d01a90b9d0.jpg,640,640,Rock,429,185,562,319
egohands-public-1624053434391_png_jpg.rf.aaef579c21debbaffef559a27788b03d.jpg,640,640,Paper,269,354,544,443


egohands-public-1624465902684_png_jpg.rf.aaa094ad3135ac0c707a17728ace8ccd.jpg,640,640,Rock,427,332,551,509
Screen-Shot-2022-02-08-at-12-59-24-PM_png.rf.aa8e59e9d07507f8010fa74f91f03c7e.jpg,640,640,Rock,80,268,145,395
egohands-public-1622127402076_png_jpg.rf.aa897e6313a4e73cfdd0ebea7ba5d35a.jpg,640,640,Rock,83,128,296,381
egohands-public-1624576212714_png_jpg.rf.aa165a69ec1ee17df1728b97481ab65e.jpg,640,640,Paper,161,337,351,476
youtube-106_jpg.rf.aa41319b54cb04ca8d8cbff836d73de8.jpg,640,640,Paper,16,93,278,456
youtube-106_jpg.rf.aa41319b54cb04ca8d8cbff836d73de8.jpg,640,640,Scissors,325,151,550,388






egohands-public-1623712851024_png_jpg.rf.a9ed8c14dd315ad37bc3978d2603fd5d.jpg,640,640,Rock,396,341,495,432


egohands-public-1622748417758_png_jpg.rf.aa79928f1d2ac16281083c1186a165a6.jpg,640,640,Paper,175,374,364,494
egohands-public-1620853743157_png_jpg.rf.a9eab94ba3b19dd2e4c61455ccfbbdd0.jpg,640,640,Scissors,59,225,319,590
0007_png.rf.a9cdf9c5358166f98c273ba80236f828.jpg,640,640,Rock,345,382,410,501
0007_png.rf.a9cdf9c5358166f98c273ba80236f828.jpg,640,640,Rock,202,349,258,460
egohands-public-1620850576321_png_jpg.rf.a9c3cd7990ec9304c8de3d2536f33f59.jpg,640,640,Rock,142,257,275,397


egohands-public-1623358711854_png_jpg.rf.ab0d0a9ede24cca76a1d82eb75058466.jpg,640,640,Scissors,305,161,613,484

IMG_7077_MOV-57_jpg.rf.aaf9619ab42658127fffe9035f3112c2.jpg,640,640,Paper,308,121,470,314
IMG_7077_MOV-57_jpg.rf.aaf9619ab42658127fffe9035f3112c2.jpg,640,640,Paper,185,338,332,404
Screen-Recording-2023-03-11-at-9_48_18-PM_mov-234_jpg.rf.ab02ddd7a3c05d08fe68a780f65f4cb8.jpg,640,640,Rock,266,344,294,399
Screen-Recording-2023-03-11-at-9_48_18-PM_mov-234_jpg.rf.ab02ddd7a3c05d08fe68a780f65f4cb8.jpg,640,640,Rock,343,322,371,360
egohands-public-1628705399239_png_jpg.rf.aae4185feecedc8436e40ce46ba73364.jpg,640,640,Scissors,121,377,500,635
IMG_7079_MOV-31_jpg.rf.ab35689b02897f13d57f7b1b6f9b195d.jpg,640,640,Paper,0,338,524,481
egohands-public-1624546381321_png_jpg.rf.ab4d1b11fce046ceefc9ae7696b3cb6a.jpg,640,640,Paper,185,379,453,506



egohands-public-1625151614282_png_jpg.rf.ab1808c3c944e43d24d6092239a997d7.jpg,640,640,Scissors,347,371,624,612

JWitt-RCP_mp4-65_jpg.rf.abb57d71ab1f32ba21d1e64571258d0d.jpg,640,640,Paper,84,167,640,444


IMG_7079_MOV-2_jpg.rf.abae53bac6fb789dd9cf333e978a5a98.jpg,640,640,Rock,219,472,558,640
0014_png.rf.ababb5dbd5cd984d3b71d5de331494ec.jpg,640,640,Rock,340,298,399,413
0014_png.rf.ababb5dbd5cd984d3b71d5de331494ec.jpg,640,640,Rock,194,378,258,483

0235_png.rf.ac06d23b5704d46c7b8b2c32fcaf2e89.jpg,640,640,Rock,209,537,270,611
0235_png.rf.ac06d23b5704d46c7b8b2c32fcaf2e89.jpg,640,640,Rock,346,291,397,379
IMG_5636_MOV-49_jpg.rf.abefb9e9f938876de7ac6ee2c1dca0ab.jpg,640,640,Scissors,186,378,376,543
youtube-92_jpg.rf.ac188ba78abaa2dfbe818c7ce8134142.jpg,640,640,Rock,67,159,229,378
youtube-92_jpg.rf.ac188ba78abaa2dfbe818c7ce8134142.jpg,640,640,Scissors,333,129,605,325
IMG_5567_mp4-133_jpg.rf.abf961dfce02fe7fbc8b539d3b118132.jpg,640,640,Rock,366,402,505,465

IMG_7043_MOV-203_jpg.rf.ac683ade287d3d0f1a4efa1fd5385e4e.jpg,640,640,Scissors,219,321,640,640


egohands-public-1620853735355_png_jpg.rf.ac7dc4df4fee5cae2c762964947a77d4.jpg,640,640,Scissors,361,131,607,408
IMG_7077_MOV-0_jpg.rf.ac4ba7bbcd63f41116d627db15ec069f.jpg,640,640,Rock,347,308,439,477
youtube-85_jpg.rf.ac78b0178b2fa1589d87f9d3272d2a25.jpg,640,640,Rock,262,178,423,414

egohands-public-1623358713950_png_jpg.rf.ac7e204111e6d77bc66c047bd7806a66.jpg,640,640,Paper,361,147,576,392
egohands-public-1625012665797_png_jpg.rf.ac891ffd55c01bfe74517877b8c4c62a.jpg,640,640,Scissors,117,410,386,634
IMG_7079_MOV-152_jpg.rf.ac923976724ce38352e71a103965618a.jpg,640,640,Scissors,104,227,436,344


egohands-public-1620852215750_png_jpg.rf.ac978bf62327dc681d8952c8b787c62d.jpg,640,640,Rock,91,327,214,456
IMG_7077_MOV-117_jpg.rf.acb1625e010e0bdb179d160872e4247e.jpg,640,640,Scissors,165,228,302,367
IMG_7077_MOV-117_jpg.rf.acb1625e010e0bdb179d160872e4247e.jpg,640,640,Paper,321,320,453,384


IMG_7079_MOV-161_jpg.rf.aca75388b79149da60b5faa91b8378b0.jpg,640,640,Rock,192,345,640,640


egohands-public-1625070645068_png_jpg.rf.acd4bf65a1439d199bc7aa0a5301dae4.jpg,640,640,Scissors,104,360,494,640

egohands-public-1624563408015_png_jpg.rf.acf7b823e23bcd4960151f89c6a61230.jpg,640,640,Paper,222,352,506,520
IMG_5567_mp4-169_jpg.rf.acf75d7249a5274b25eccfa398048924.jpg,640,640,Paper,57,393,304,442


IMG_5636_MOV-27_jpg.rf.ad40fa3f0559b7534eab086ce63cd32b.jpg,640,640,Rock,375,356,535,474
20220216_222229_jpg.rf.ad38db540d968b7bf6689b1fa4f95e45.jpg,640,640,Paper,185,305,570,483


IMG_7043_MOV-205_jpg.rf.ad516c7c586a63cda967f92a576fe595.jpg,640,640,Scissors,247,276,640,640
egohands-public-1626442365160_png_jpg.rf.ad23a27aee512a066fe64db83d381dff.jpg,640,640,Scissors,465,108,640,422
egohands-public-1624053435544_png_jpg.rf.ad537aa5da8cc33f245658db2ed6161b.jpg,640,640,Paper,191,520,479,640
zoom_tests_RockPaperScissors-mohamed_mp4-219_jpg.rf.ad53d545eaa81ca911aac8616f2adf04.jpg,640,640,Scissors,357,214,607,640

egohands-public-1624546383552_png_jpg.rf.ad56f7999d45bd58e4ec6b0a17b23abc.jpg,640,640,Scissors,190,350,437,542
IMG_5636_MOV-10_jpg.rf.ad545644e21d1a0c7249e5b848529f80.jpg,640,640,Scissors,103,328,305,470


